大黒
大井

"name","latitude","longitude","radius"
市川, 35.6768817869834     ,139.93227124214175, 300
箱崎, 35.682502916505676   ,139.78847265243533,  50
辰一, 35.64373957981527    ,139.8098069429398 , 100
辰二, 35.64554436229445    ,139.81525719165805, 100
芝浦, 35.643495451518845   ,139.75734829902652, 200
大師, 35.53914088669749    ,139.74145352840426,  50
平和, 35.58556366221226    ,139.74139451980594, 200
川口, 35.84706525883306    ,139.74226355552676, 200
八潮, 35.80979152023394    ,139.84267473220828, 150
加平, 35.77683514186286    ,139.82436597347262,  50
駒形, 35.704621918699345   ,139.79631006717685,  70
志村, 35.77417593148318    ,139.68477308750155,  70
南池, 35.72309401073629    ,139.7223508358002 , 100
代々, 35.681173925501874   ,139.69772815704349,  70
永福, 35.66810070322358    ,139.64327394962314,  70
用賀, 35.62649618510323    ,139.63104844093326,  70


id	name	latitude	longitude	radius	createdAt	updatedAt
1	大黒PA	35.4616486896	139.6799612045	200	2024-10-19 22:00:18.352	2024-10-19 22:00:18.352
2	大井PA	35.5931193269	139.7548527714	300	2024-10-20 00:28:57.264	2024-10-20 00:28:57.264
3	市川PA	35.676881787	139.9322712421	300	[NULL]	[NULL]
4	箱崎PA	35.6825029165	139.7884726524	50	[NULL]	[NULL]
5	辰巳第一PA	35.6437395798	139.8098069429	100	[NULL]	[NULL]
6	辰巳第二PA	35.6455443623	139.8152571917	100	[NULL]	[NULL]
7	芝浦PA	35.6434954515	139.757348299	200	[NULL]	[NULL]
8	大師PA	35.5391408867	139.7414535284	50	[NULL]	[NULL]
9	平和島PA	35.5855636622	139.7413945198	200	[NULL]	[NULL]
10	川口PA	35.8470652588	139.7422635555	200	[NULL]	[NULL]
11	八潮PA	35.8097915202	139.8426747322	150	[NULL]	[NULL]
12	加平PA	35.7768351419	139.8243659735	50	[NULL]	[NULL]
13	駒形PA	35.7046219187	139.7963100672	70	[NULL]	[NULL]
14	志村PA	35.7741759315	139.6847730875	70	[NULL]	[NULL]
15	南池袋PA	35.7230940107	139.7223508358	100	[NULL]	[NULL]
16	代々木PA	35.6811739255	139.697728157	70	[NULL]	[NULL]
17	永福PA	35.6681007032	139.6432739496	70	[NULL]	[NULL]
18	用賀PA	35.6264961851	139.6310484409	70	[NULL]	[NULL]
